2	22	13/03/2013	1827	295.249	8	91
2	22	10/04/2013	1750	368.1521	8	91
1	22	17/12/2012	0	0	8	91
1	22	28/01/2013	0	0	8	91
1	22	20/02/2013	859	93.3738	8	91
1	22	13/03/2013	860	159.7664	8	91
1	22	10/04/2013	731	99.6192	8	91
2	13	17/12/2012	0	0	8	91
2	13	28/01/2013	0	0	8	91
2	13	20/02/2013	2395	208.0096	8	91
2	13	13/03/2013	2572.3	144.0123	8	91
2	13	10/04/2013	2125	103.8652	8	91
1	13	17/12/2012	0	0	8	91
1	13	28/01/2013	0	0	8	91
1	13	20/02/2013	1262	227.3206	8	91
1	13	13/03/2013	1056.8	358.0486	8	91
1	13	10/04/2013	1042	428.1121	8	91
2	4	17/12/2012	0	0	8	91
2	4	28/01/2013	0	0	8	91
2	4	20/02/2013	2768	697.7067	8	91
2	4	13/03/2013	2737	426.8879	8	91
2	4	10/04/2013	2363	181.4129	8	91
1	4	17/12/2012	0	0	8	91
1	4	28/01/2013	0	0	8	91
1	4	20/02/2013	1301	501.8831	8	91
1	4	13/03/2013	1146.8	70.8929	8	91
1	4	10/04/2013	1211	452.6941	8	91
2	22	17/12/2012	0	0	11	91
2	22	28/01/2013	0	0	11	91
2	22	20/02/2013	2898	241.8704	11	91
2	22	13/03/2013	8571	1357.0806	11	91
2	22	10/04/2013	10995	1712.6459	11	91
1	22	17/12/2012	0	0	11	91
1	22	28/01/2013	0	0	11	91
1	22	20/02/2013	1140	219.9393	11	91
1	22	13/03/2013	3408	673.5537	11	91
1	22	10/04/2013	3464	529.3417	11	91
2	13	17/12/2012	0	0	11	91
2	13	28/01/2013	0	0	11	91
2	13	20/02/2013	3488	604.2604	11	91
2	13	13/03/2013	10703	651.3114	11	91
2	13	10/04/2013	12803	557.7801	11	91
1	13	17/12/2012	0	0	11	91
1	13	28/01/2013	0	0	11	91
1	13	20/02/2013	1929	292.162	11	91
1	13	13/03/2013	4705	1362.4463	11	91
1	13	10/04/2013	5264	2223.2732	11	91
2	4	17/12/2012	0	0	11	91
2	4	28/01/2013	0	0	11	91
2	4	20/02/2013	3874	645.1997	11	91
2	4	13/03/2013	11974	1419.7333	11	91
2	4	10/04/2013	15209	1157.8203	11	91
1	4	17/12/2012	0	0	11	91
1	4	28/01/2013	0	0	11	91
1	4	20/02/2013	2130	1107.3259	11	91
1	4	13/03/2013	5120	481.6084	11	91
1	4	10/04/2013	6202	2647.4087	11	91
2	22	17/12/2012	0	0	20	91
2	22	28/01/2013	173	116.8645	20	91
