!Title = 02-2008-LINC-MAIZ-PLAS     
Variety Mulch Sow Date Silk Silkerror
() () () () (apsimcode) (stdev)
39G12 Plastic Late 2/02/2009 6.93 0.06
39G12 Plastic Late 5/02/2009 6.98 0.03
39G12 Plastic Late 7/02/2009 * *
39G12 Plastic Late 9/02/2009 * *
39G12 Plastic Late 11/02/2009 * *
39G12 Plastic Late 13/02/2009 * *
39G12 Plastic Late 14/02/2009 * *
39G12 Plastic Late 16/02/2009 * *
39G12 Plastic Late 18/02/2009 * *
39G12 Plastic Late 21/02/2009 * *
39G12 Plastic Late 23/02/2009 * *
39G12 Plastic Late 25/02/2009 * *
39G12 Plastic Late 27/02/2009 * *
39G12 Plastic Late 2/03/2009 * *
39G12 Plastic Late 6/03/2009 * *
