!Title = 15-2010-HAWK-MAIZ-HYBR				
Sow	Variety	Date	LeafTips	LeafTipserror
()	()	()	(n)	(stdev)
Mid	 39V43	29/11/2010	6.86	0.36
Mid	 39V43	3/12/2010	7.57	0.51
Mid	 39V43	6/12/2010	8.19	0.51
Mid	 39V43	9/12/2010	9.00	0.45
Mid	 39V43	13/12/2010	10.52	0.68
Mid	 39V43	16/12/2010	11.57	0.60
Mid	 39V43	20/12/2010	12.43	0.87
Mid	 39V43	23/12/2010	13.14	0.79
Mid	 39V43	27/12/2010	13.38	0.67
Mid	 39V43	3/01/2011	14.11	0.58
Mid	 39V43	6/01/2011	14.06	0.54
Mid	 39V43	10/01/2011	14.83	0.41
