
this is long file 

"ExpNo" "TreatNo" "Date" "Variable" "simValue" "obsValue" "Error"
"93" 1 1 "15/01/2011" "stage_code" 7 6 0.05
"94" 1 1 "15/01/2011" "stage_code" 7 6 0.03
"95" 1 1 "15/01/2011" "stage_code" 7 6 0.05
"96" 1 1 "15/01/2011" "stage_code" 7 6 0.03
"97" 1 1 "15/11/2010" "LeafLigules" 2.019 1 0
"98" 1 1 "15/11/2010" "LeafLigules" 2.019 1 0
"99" 1 1 "15/11/2010" "stage_code" 3 3 0
"100" 1 1 "15/11/2010" "stage_code" 3 3 0
"101" 1 1 "16/02/2011" "LightInt" 0.868 0.89 0.03
"102" 1 1 "16/02/2011" "LightInt" 0.868 0.89 0.03
"103" 1 1 "16/03/2011" "LightInt" 0.866 0.81 0.03
"104" 1 1 "16/03/2011" "LightInt" 0.866 0.81 0.03
"105" 1 1 "16/12/2010" "LeafLigules" 8.879 5.75 0.44
"106" 1 1 "16/12/2010" "LeafLigules" 8.879 5.75 0.44
"107" 1 1 "17/01/2011" "LeafLigules" 14.313 13.67 0.63
"108" 1 1 "17/01/2011" "LeafLigules" 14.313 13.67 0.63
"109" 1 1 "17/01/2011" "stage_code" 7 6 0
"110" 1 1 "17/01/2011" "stage_code" 7 6.6 0.17
"111" 1 1 "17/01/2011" "stage_code" 7 6 0
"112" 1 1 "17/01/2011" "stage_code" 7 6.6 0.17
"113" 1 1 "17/03/2011" "AboveDM" 18628.234 18821 1360
"114" 1 1 "17/03/2011" "AboveDM" 18628.234 18821 1360
"115" 1 1 "17/03/2011" "GrainDM" 8952.209 10525 689
"116" 1 1 "17/03/2011" "GrainDM" 8952.209 10525 689
"117" 1 1 "17/03/2011" "LeafDM" 1676.334 1760 73
"118" 1 1 "17/03/2011" "LeafDM" 1676.334 1760 73
"119" 1 1 "17/03/2011" "StemDM" 6090.567 4072 411
"120" 1 1 "17/03/2011" "StemDM" 6090.567 4072 411
"121" 1 1 "17/12/2010" "LightInt" 0.58 0.42 0.02
"122" 1 1 "17/12/2010" "LightInt" 0.58 0.42 0.02
"123" 1 1 "18/01/2011" "stage_code" 7 6 0
"124" 1 1 "18/01/2011" "stage_code" 7 6.8 0.13
"125" 1 1 "18/01/2011" "stage_code" 7 6 0
"126" 1 1 "18/01/2011" "stage_code" 7 6.8 0.13
"127" 1 1 "18/02/2011" "AboveDM" 15569.039 12718 773
"128" 1 1 "18/02/2011" "AboveDM" 15569.039 12718 773
"129" 1 1 "18/02/2011" "GrainDM" 4746.378 3613 652
"130" 1 1 "18/02/2011" "GrainDM" 4746.378 3613 652
"131" 1 1 "18/02/2011" "LeafDM" 1953.814 1702 170
"132" 1 1 "18/02/2011" "LeafDM" 1953.814 1702 170
"133" 1 1 "18/02/2011" "StemDM" 6996.429 4582 405
"134" 1 1 "18/02/2011" "StemDM" 6996.429 4582 405
"135" 1 1 "19/01/2011" "LightInt" 0.87 0.83 0.03
"136" 1 1 "19/01/2011" "LightInt" 0.87 0.83 0.03
"137" 1 1 "19/01/2011" "stage_code" 7 6.9 0.11
"138" 1 1 "19/01/2011" "stage_code" 7 6 0
"139" 1 1 "19/01/2011" "stage_code" 7 6.9 0.11
"140" 1 1 "19/01/2011" "stage_code" 7 6 0
"141" 1 1 "19/11/2010" "LeafLigules" 2.594 2 0
"142" 1 1 "19/11/2010" "LeafLigules" 2.594 2 0
"143" 1 1 "20/01/2011" "AboveDM" 10499.204 5990 409
"144" 1 1 "20/01/2011" "AboveDM" 10499.204 5990 409
"145" 1 1 "20/01/2011" "LeafDM" 2013.888 1636 174
"146" 1 1 "20/01/2011" "LeafDM" 2013.888 1636 174
"147" 1 1 "20/01/2011" "stage_code" 7 6 0
"148" 1 1 "20/01/2011" "stage_code" 7 6.9 0.12
"149" 1 1 "20/01/2011" "stage_code" 7 6 0
"150" 1 1 "20/01/2011" "stage_code" 7 6.9 0.12
"151" 1 1 "20/01/2011" "StemDM" 6832.812 3869 269
"152" 1 1 "20/01/2011" "StemDM" 6832.812 3869 269
"153" 1 1 "20/12/2010" "LeafLigules" 10.12 6.03 0.17
"154" 1 1 "20/12/2010" "LeafLigules" 10.12 6.03 0.17
"155" 1 1 "23/11/2010" "LeafLigules" 3.171 2.42 0.5
"156" 1 1 "23/11/2010" "LeafLigules" 3.171 2.42 0.5
"157" 1 1 "23/12/2010" "LeafLigules" 11.312 6.61 0.49
"158" 1 1 "23/12/2010" "LeafLigules" 11.312 6.61 0.49
"159" 1 1 "23/12/2010" "LightInt" 0.764 0.53 0.02
"160" 1 1 "23/12/2010" "LightInt" 0.764 0.53 0.02
"161" 1 1 "24/01/2011" "stage_code" 7 6 0
"162" 1 1 "24/01/2011" "stage_code" 7 7 0.02
"163" 1 1 "24/01/2011" "stage_code" 7 6 0
"164" 1 1 "24/01/2011" "stage_code" 7 7 0.02
"165" 1 1 "24/02/2011" "LightInt" 0.867 0.84 0.03
"166" 1 1 "24/02/2011" "LightInt" 0.867 0.84 0.03
"167" 1 1 "24/11/2010" "LightInt" 0.04 0.01 0.01
"168" 1 1 "24/11/2010" "LightInt" 0.04 0.01 0.01
"169" 1 1 "25/11/2010" "LeafLigules" 3.376 3 0
"170" 1 1 "25/11/2010" "LeafLigules" 3.376 3 0
"171" 1 1 "26/01/2011" "AboveDM" 11673.426 7975 356
"172" 1 1 "26/01/2011" "AboveDM" 11673.426 7975 356
"173" 1 1 "26/01/2011" "LeafDM" 1996.056 1842 104
"174" 1 1 "26/01/2011" "LeafDM" 1996.056 1842 104
"175" 1 1 "26/01/2011" "LightInt" 0.869 0.9 0.01
"176" 1 1 "26/01/2011" "LightInt" 0.869 0.9 0.01
"177" 1 1 "26/01/2011" "StemDM" 7640.369 4536 162
"178" 1 1 "26/01/2011" "StemDM" 7640.369 4536 162
"179" 1 1 "27/01/2011" "LightInt" 0.869 0.85 0.04
"180" 1 1 "27/01/2011" "LightInt" 0.869 0.85 0.04
"181" 1 1 "27/12/2010" "LeafLigules" 12.291 7.31 0.47
"182" 1 1 "27/12/2010" "LeafLigules" 12.291 7.31 0.47
"183" 1 1 "28/02/2011" "AboveDM" 16692.393 16536 1112
"184" 1 1 "28/02/2011" "AboveDM" 16692.393 16536 1112
"185" 1 1 "28/02/2011" "GrainDM" 6676.059 7073 367
"186" 1 1 "28/02/2011" "GrainDM" 6676.059 7073 367
"187" 1 1 "28/02/2011" "LeafDM" 1943.562 1943 148
"188" 1 1 "28/02/2011" "LeafDM" 1943.562 1943 148
"189" 1 1 "28/02/2011" "StemDM" 6190.102 4679 520
"190" 1 1 "28/02/2011" "StemDM" 6190.102 4679 520
"191" 1 1 "28/03/2011" "AboveDM" 19318.66 20637 1691
"192" 1 1 "28/03/2011" "AboveDM" 19318.66 20637 1691
"193" 1 1 "28/03/2011" "GrainDM" 9529.37 11895 983
"194" 1 1 "28/03/2011" "GrainDM" 9529.37 11895 983
"195" 1 1 "28/03/2011" "LeafDM" 1593.606 1522 111
"196" 1 1 "28/03/2011" "LeafDM" 1593.606 1522 111
"197" 1 1 "28/03/2011" "LightInt" 0.862 0.76 0.05
"198" 1 1 "28/03/2011" "LightInt" 0.862 0.76 0.05
"199" 1 1 "28/03/2011" "StemDM" 6203.832 4390 514
"200" 1 1 "28/03/2011" "StemDM" 6203.832 4390 514
"201" 1 1 "29/11/2010" "LeafLigules" 4.573 3.28 0.45
"202" 1 1 "29/11/2010" "LeafLigules" 4.573 3.28 0.45
"203" 1 1 "30/12/2010" "AboveDM" 4980.938 2087 152
"204" 1 1 "30/12/2010" "AboveDM" 4980.938 2087 152
"205" 1 1 "30/12/2010" "LAI" 4.312 2.03 0.14
"206" 1 1 "30/12/2010" "LAI" 4.312 2.03 0.14
"207" 1 1 "30/12/2010" "LeafDM" 1917.897 1010 77
"208" 1 1 "30/12/2010" "LeafDM" 1917.897 1010 77
"209" 1 1 "30/12/2010" "LeafLigules" 13.148 8.14 0.54
"210" 1 1 "30/12/2010" "LeafLigules" 13.148 8.14 0.54
"211" 1 1 "30/12/2010" "LightInt" 0.849 0.71 0.04
"212" 1 1 "30/12/2010" "LightInt" 0.849 0.71 0.04
"213" 1 1 "30/12/2010" "StemDM" 2508.223 1077 97
"214" 1 1 "30/12/2010" "StemDM" 2508.223 1077 97
"215" 1 2 "01/02/2011" "LightInt" 0.869 0.84 0.08
"216" 1 2 "02/12/2010" "AboveDM" 301.596 146 72
