"exp" "treat" "var" "n" "RMSD" "RMSD_mean" "R2"
"110" 15 8 "LeafLigules" 17 1.7 17.8 83.8
"111" 15 8 "StemDM" 6 829.3 22.2 90.6
"112" 15 8 "stage_code" 6 0.7 21 90.1
"113" 15 9 "LightInt" 3 0.4 63.8 41
"114" 15 9 "AboveDM" 3 11746.5 55.4 49.2
"115" 15 9 "LAI" 5 3.5 55.8 41.2
"116" 15 9 "LeafDM" 3 2653.2 63.6 38.9
"117" 15 9 "LeafLigules" 15 2.9 27.6 74.8
"118" 15 9 "StemDM" 3 914.7 15.4 91.4
"119" 15 9 "stage_code" 7 1 23.4 82.5
"120" 18 1 "AboveDM" 7 1329 10 96
"121" 18 1 "LAI" 6 0.7 18.7 75.4
"122" 18 1 "LeafDM" 6 528.3 27.7 56.3
"123" 18 1 "StemDM" 6 1002.7 19.1 84.5
"124" 18 2 "AboveDM" 7 2542.3 21.8 85.1
"125" 18 2 "LAI" 6 1 34.8 53.3
"126" 18 2 "LeafDM" 6 558.7 39.5 44.7
"127" 18 2 "StemDM" 6 1211.8 30.1 78.6
"128" 18 10 "AboveDM" 7 1638.9 12.5 93.8
"129" 18 10 "LAI" 6 0.7 19.7 72.9
"130" 18 10 "LeafDM" 6 524.6 28.6 54
"131" 18 10 "StemDM" 6 1124.4 21.1 81.6
"132" 18 3 "AboveDM" 7 4614 49.4 68.5
"133" 18 3 "LAI" 6 1.1 43.9 53
"134" 18 3 "LeafDM" 6 690 65.1 46.7
"135" 18 3 "StemDM" 6 1998.1 65.5 59.8
"136" 18 4 "AboveDM" 7 4098.5 43.8 71.4
"137" 18 4 "LAI" 6 1.2 51.3 42.1
"138" 18 4 "LeafDM" 6 650.5 55.4 38.2
"139" 18 4 "StemDM" 6 1826.9 58.3 62.2
"140" 18 5 "AboveDM" 7 2345.7 18.6 90.7
"141" 18 5 "LAI" 6 1 28.3 59.7
"142" 18 5 "LeafDM" 6 516.8 31.6 53.2
"143" 18 5 "StemDM" 6 1066.8 23.8 85.3
"144" 18 6 "AboveDM" 7 2133 17.5 87.6
"145" 18 6 "LAI" 6 0.8 22.9 70
"146" 18 6 "LeafDM" 6 481.4 28 55.7
"147" 18 6 "StemDM" 6 1229.9 23.3 80.3
"148" 18 7 "AboveDM" 7 2559.4 21.6 84.8
"149" 18 7 "LAI" 6 1 31.4 55
"150" 18 7 "LeafDM" 6 548.3 34.7 51.2
"151" 18 7 "StemDM" 6 938.8 19.7 90.5
"152" 18 8 "AboveDM" 7 2844.5 20.4 84.7
"153" 18 8 "LAI" 6 1 27.7 55.8
"154" 18 8 "LeafDM" 6 699.6 37.1 42.6
"155" 18 8 "StemDM" 6 2257.3 39.2 60.3
"156" 18 9 "AboveDM" 7 1790.7 14.2 91
"157" 18 9 "LAI" 6 0.6 17.5 77.1
"158" 18 9 "LeafDM" 6 501 28.8 54
"159" 18 9 "StemDM" 6 942.8 19.4 88.7
"160" 2 1 "LightInt" 1 0.2 29.4 NA
"161" 2 1 "AboveDM" 1 549.7 2.1 NA
"162" 2 1 "LeafDM" 1 3101.3 99.9 NA
"163" 2 1 "LeafLigules" 2 3.1 138.7 46.1
"164" 2 1 "StemDM" 1 579.7 7 NA
"165" 2 1 "GrainDM" 1 90.5 0.7 NA
"166" 2 2 "LightInt" 1 0.1 13.3 NA
"167" 2 2 "AboveDM" 1 2524.4 9.4 NA
"168" 2 2 "LeafDM" 1 811.6 32 NA
"169" 2 2 "LeafLigules" 2 3.8 116.4 87.5
"170" 2 2 "StemDM" 1 1928.6 28.8 NA
"171" 2 2 "GrainDM" 1 4018.1 26.8 NA
"172" 2 3 "LightInt" 4 0.2 33.2 69.3
"173" 2 3 "AboveDM" 7 2206.8 17 84.6
"174" 2 3 "LeafDM" 1 1921.6 51.8 NA
"175" 2 3 "LeafLigules" 6 1.6 12.1 88
"176" 2 3 "StemDM" 1 3891.8 33.4 NA
"177" 2 3 "stage_code" 14 0.8 12.8 79.8
"178" 2 3 "GrainDM" 2 2120.7 64.3 60.9
"179" 2 4 "LightInt" 4 0.4 54.1 44.9
"180" 2 4 "AboveDM" 7 4452.8 29.5 73.2
"181" 2 4 "LeafDM" 1 1598.6 47.2 NA
"182" 2 4 "LeafLigules" 6 1 6.6 93.8
"183" 2 4 "StemDM" 1 41.8 0.5 NA
"184" 2 4 "stage_code" 6 1.6 24.4 NA
"185" 2 4 "GrainDM" 3 3779.5 48.9 54.6
"186" 2 5 "LightInt" 1 0.2 31.2 NA
"187" 2 5 "AboveDM" 1 4435.6 20.1 NA
"188" 2 5 "LeafDM" 1 475.1 24.9 NA
"189" 2 5 "LeafLigules" 2 4.4 240.4 40.8
"190" 2 5 "StemDM" 1 1240.6 21.1 NA
"191" 2 5 "GrainDM" 1 3372.9 27.6 NA
"192" 2 6 "LightInt" 1 0.2 30.8 NA
"193" 2 6 "AboveDM" 1 2500.9 11.5 NA
"194" 2 6 "LeafDM" 1 77.6 4.7 NA
"195" 2 6 "LeafLigules" 2 4.9 176.9 87.9
"196" 2 6 "StemDM" 1 1479.6 26.3 NA
"197" 2 6 "GrainDM" 1 857.3 6.9 NA
"198" 2 7 "LightInt" 4 0 0 97.2
"199" 2 7 "AboveDM" 7 1800.4 12.6 91.1
"200" 2 7 "LeafDM" 1 842.2 31.3 NA
"201" 2 7 "LeafLigules" 6 2.4 18.8 71.8
"202" 2 7 "StemDM" 1 746.8 10.6 NA
"203" 2 7 "stage_code" 9 0.8 12.3 57
"204" 2 7 "GrainDM" 3 671.8 7.8 95.6
"205" 2 8 "LightInt" 4 0.1 13.4 86.4
"206" 2 8 "AboveDM" 6 2928.4 20.6 81
"207" 2 8 "LeafDM" 1 597.1 23.1 NA
"208" 2 8 "LeafLigules" 6 1.3 8.5 89.5
"209" 2 8 "StemDM" 1 67 0.9 NA
"210" 2 8 "stage_code" 7 1.1 16.7 57.6
"211" 2 8 "GrainDM" 3 3282.7 40.2 63.5
"212" 22 1 "AboveDM" 3 1998.6 15.6 90.8
"213" 22 1 "LAI" 5 1.8 90.1 45.8
"214" 22 1 "LeafDM" 3 441.9 21.1 29.8
"215" 22 1 "StemDM" 3 760.1 14.4 0
"216" 22 2 "AboveDM" 3 2950.3 26.3 90.9
"217" 22 2 "LAI" 5 1.8 89.1 46.8
"218" 22 2 "LeafDM" 3 440.7 20.9 79.1
"219" 22 2 "StemDM" 3 1252.4 26.4 2.4
"220" 22 3 "AboveDM" 3 1827 14.4 91.5
"221" 22 3 "LAI" 5 1.6 70.7 52.5
"222" 22 3 "LeafDM" 3 570.1 25.5 72
"223" 22 3 "StemDM" 3 709 13.2 14.7
"224" 22 4 "AboveDM" 3 2021.1 16.3 92
"225" 22 4 "LAI" 5 1.9 98.1 36.7
"226" 22 4 "LeafDM" 3 476.8 22.3 53.1
"227" 22 4 "StemDM" 3 735.1 14.1 1.1
"228" 23 1 "LightInt" 16 0.1 13.5 90.7
"229" 23 1 "AboveDM" 5 2640.6 21.6 80.6
"230" 23 1 "LAI" 5 0.8 27.4 71.2
"231" 23 1 "LeafDM" 5 229.6 14.5 90.8
"232" 23 1 "LeafLigules" 13 1.9 23.7 83.6
"233" 23 1 "StemDM" 5 886.5 22.2 81.2
"234" 23 1 "stage_code" 15 0.6 12.3 85.5
"235" 23 1 "GrainDM" 5 2422.2 53.9 61.5
"236" 23 2 "LightInt" 16 0.2 41.8 42.5
"237" 23 2 "AboveDM" 5 2044.4 35.9 74.9
"238" 23 2 "LAI" 5 0.5 37.3 68.3
"239" 23 2 "LeafDM" 5 232.9 33.6 74.6
"240" 23 2 "LeafLigules" 13 2.1 26.2 81.8
"241" 23 2 "StemDM" 5 2481.8 126.5 28.1
"242" 23 2 "stage_code" 15 0.6 12.3 84.6
"243" 23 2 "GrainDM" 5 1034.1 64.5 48.9
"244" 23 3 "LightInt" 16 0.1 13 89.2
"245" 23 3 "AboveDM" 5 2915.3 18.4 83.7
"246" 23 3 "LAI" 5 0.9 26 71.4
"247" 23 3 "LeafDM" 5 524.1 26.3 67.8
"248" 23 3 "LeafLigules" 13 1.7 20.9 85.9
"249" 23 3 "StemDM" 5 831.2 14.7 89.4
"250" 23 3 "stage_code" 15 0.6 12.3 85.2
"251" 23 3 "GrainDM" 5 2125.8 39.4 71.3
"252" 23 4 "LightInt" 16 0.2 42.4 36.5
"253" 23 4 "AboveDM" 5 732.6 9.7 96
