ExpNo	TreatNo	Date	obsValue	Error	Variable
3	4	16/12/2007	0.7	0.07	LightInt
3	4	23/12/2007	0.81	0.03	LightInt
3	4	08/01/2008	0.92	0.03	LightInt
3	4	17/01/2008	0.96	0.01	LightInt
3	4	17/02/2008	0.94	0.05	LightInt
6	3	11/11/2008	2.44	0.11	stage_code
6	3	13/11/2008	2.89	0.11	stage_code
6	3	15/11/2008	2.93	0.06	stage_code
6	3	17/11/2008	2.93	0.06	stage_code
6	3	19/11/2008	2.93	0.06	stage_code
6	2	11/11/2008	2.15	0.13	stage_code
6	2	13/11/2008	2.85	0.06	stage_code
6	2	15/11/2008	2.93	0.13	stage_code
6	2	17/11/2008	2.93	0.13	stage_code
6	2	19/11/2008	2.93	0.13	stage_code
6	1	11/11/2008	2.04	0.06	stage_code
6	1	13/11/2008	2.81	0.17	stage_code
6	1	15/11/2008	2.96	0.06	stage_code
6	1	17/11/2008	2.96	0.06	stage_code
6	1	19/11/2008	2.96	0.06	stage_code
6	2	21/01/2009	6.02	0.03	stage_code
6	2	23/01/2009	6.08	0.06	stage_code
6	2	25/01/2009	6.23	0.03	stage_code
6	2	26/01/2009	6.33	0.08	stage_code
6	2	27/01/2009	6.57	0.08	stage_code
6	2	30/01/2009	6.88	0.08	stage_code
6	1	21/01/2009	6.13	0.12	stage_code
6	1	23/01/2009	6.43	0.03	stage_code
6	1	25/01/2009	6.67	0.16	stage_code
6	1	26/01/2009	6.78	0.1	stage_code
6	1	27/01/2009	6.85	0	stage_code
6	1	30/01/2009	6.88	0.08	stage_code
6	3	21/01/2009	6.07	0.03	stage_code
6	3	23/01/2009	6.22	0.06	stage_code
6	3	25/01/2009	6.58	0.06	stage_code
6	3	26/01/2009	6.73	0.13	stage_code
6	3	27/01/2009	6.83	0.03	stage_code
6	3	30/01/2009	6.95	0.05	stage_code
6	3	27/11/2008	3	0	LeafLigules
6	3	05/12/2008	3.93	0.12	LeafLigules
6	3	17/12/2008	5.2	0.2	LeafLigules
6	3	23/12/2008	6.07	0.12	LeafLigules
6	3	30/12/2008	6.53	0.23	LeafLigules
6	3	08/01/2009	8.6	0.2	LeafLigules
6	3	19/01/2009	12.27	0.31	LeafLigules
6	3	28/01/2009	14.8	0.87	LeafLigules
6	2	27/11/2008	2.93	0.12	LeafLigules
6	2	05/12/2008	4	0.2	LeafLigules
6	2	17/12/2008	5.87	0.31	LeafLigules
6	2	23/12/2008	6.53	0.12	LeafLigules
6	2	30/12/2008	6.87	0.12	LeafLigules
6	2	08/01/2009	9.27	0.12	LeafLigules
6	2	19/01/2009	12.6	0.4	LeafLigules
6	2	28/01/2009	16.53	0.42	LeafLigules
6	1	27/11/2008	2.6	0.53	LeafLigules
6	1	05/12/2008	3.67	0.58	LeafLigules
6	1	17/12/2008	5.13	0.23	LeafLigules
6	1	23/12/2008	5.87	0.23	LeafLigules
6	1	30/12/2008	6.4	0.35	LeafLigules
6	1	08/01/2009	8.73	0.81	LeafLigules
6	1	19/01/2009	12.13	0.9	LeafLigules
6	1	28/01/2009	13.8	0.35	LeafLigules
6	3	27/11/2008	5.2	0	LeafTips
6	3	05/12/2008	6.6	0.35	LeafTips
6	3	17/12/2008	9	0.2	LeafTips
6	3	23/12/2008	9.87	0.12	LeafTips
6	3	30/12/2008	11.33	0.12	LeafTips
6	3	08/01/2009	13.4	0.92	LeafTips
6	3	19/01/2009	14.47	0.61	LeafTips
6	3	28/01/2009	14.8	0.87	LeafTips
6	2	27/11/2008	5.6	0.2	LeafTips
6	2	05/12/2008	7	0.2	LeafTips
6	2	17/12/2008	9.93	0.23	LeafTips
6	2	23/12/2008	10.67	0.31	LeafTips
6	2	30/12/2008	12	0	LeafTips
6	2	08/01/2009	14.6	0.4	LeafTips
6	2	19/01/2009	15.87	0.12	LeafTips
6	2	28/01/2009	16.93	0.12	LeafTips
6	1	27/11/2008	5.13	0.42	LeafTips
6	1	05/12/2008	6.33	0.58	LeafTips
6	1	17/12/2008	8.8	0.72	LeafTips
6	1	23/12/2008	9.67	0.7	LeafTips
6	1	30/12/2008	11.2	0.72	LeafTips
6	1	08/01/2009	12.93	0.5	LeafTips
6	1	19/01/2009	13.73	0.23	LeafTips
6	1	28/01/2009	13.87	0.23	LeafTips
6	3	30/12/2008	0.35	0.02	LightInt
6	3	07/01/2009	0.65	0.08	LightInt
6	3	14/01/2009	0.8	0.08	LightInt
6	3	07/02/2009	0.9	0.02	LightInt
6	3	10/03/2009	0.89	0.04	LightInt
6	2	30/12/2008	0.36	0.08	LightInt
6	2	07/01/2009	0.66	0.05	LightInt
6	2	14/01/2009	0.81	0.02	LightInt
6	2	07/02/2009	0.93	0.03	LightInt
6	2	10/03/2009	0.95	0.01	LightInt
6	1	30/12/2008	0.4	0.02	LightInt
6	1	07/01/2009	0.66	0.03	LightInt
6	1	14/01/2009	0.76	0.05	LightInt
6	1	07/02/2009	0.87	0.02	LightInt
6	1	10/03/2009	0.89	0.02	LightInt
6	3	28/01/2009	4.32	0.56	LAI
6	2	28/01/2009	5.21	0.16	LAI
6	1	28/01/2009	3.59	0.34	LAI
6	2	03/04/2009	2590	307	LeafDM
6	1	03/04/2009	2142	58	LeafDM
6	3	03/04/2009	2419	117	LeafDM
6	2	03/04/2009	6607	264	StemDM
6	1	03/04/2009	5636	193	StemDM
6	3	03/04/2009	6492	991	StemDM
6	2	03/04/2009	10913	504	GrainDM
6	1	03/04/2009	11884	493	GrainDM
6	3	03/04/2009	11206	727	GrainDM
6	2	07/01/2009	2365	374	AboveDM
6	1	07/01/2009	2093	252	AboveDM
6	3	07/01/2009	2490	460	AboveDM
6	2	30/01/2009	9673	949	AboveDM
6	1	30/01/2009	7785	1938	AboveDM
6	3	30/01/2009	8093	1081	AboveDM
6	2	03/04/2009	22250	1153	AboveDM
6	1	03/04/2009	21574	639	AboveDM
6	3	03/04/2009	22227	246	AboveDM
22	3	27/02/2007	2305	135	LeafDM
22	3	16/03/2007	2296	223	LeafDM
22	3	12/04/2007	2098	72	LeafDM
22	4	27/02/2007	2162	374	LeafDM
22	4	16/03/2007	2276	159	LeafDM
22	4	12/04/2007	1967	138	LeafDM
22	2	27/02/2007	2246	80	LeafDM
22	2	16/03/2007	2158	147	LeafDM
22	2	12/04/2007	1912	68	LeafDM
22	1	27/02/2007	2080	133	LeafDM
22	1	16/03/2007	2164	149	LeafDM
22	1	12/04/2007	2033	288	LeafDM
22	3	27/02/2007	5257	197	StemDM
22	3	16/03/2007	6364	438	StemDM
22	3	12/04/2007	4548	121	StemDM
22	4	27/02/2007	4862	896	StemDM
22	4	16/03/2007	6122	471	StemDM
22	4	12/04/2007	4698	839	StemDM
22	2	27/02/2007	3876	2511	StemDM
22	2	16/03/2007	6086	412	StemDM
22	2	12/04/2007	4258	261	StemDM
22	1	27/02/2007	4842	396	StemDM
22	1	16/03/2007	6165	555	StemDM
22	1	12/04/2007	4840	457	StemDM
22	3	27/02/2007	8950	390	AboveDM
22	3	16/03/2007	12704	574	AboveDM
22	3	12/04/2007	16341	1040	AboveDM
22	4	27/02/2007	8311	1670	AboveDM
22	4	16/03/2007	12577	177	AboveDM
22	4	12/04/2007	16359	2039	AboveDM
22	2	27/02/2007	5714	4183	AboveDM
22	2	16/03/2007	12382	1320	AboveDM
22	2	12/04/2007	15510	571	AboveDM
22	1	27/02/2007	9155	2517	AboveDM
22	1	16/03/2007	12333	838	AboveDM
22	1	12/04/2007	16860	1908	AboveDM
22	3	04/01/2007	0.13	0	LAI
22	3	16/01/2007	1.32	0.26	LAI
22	3	26/01/2007	2.59	0.41	LAI
22	3	07/02/2007	3.49	0.29	LAI
22	3	27/02/2007	3.78	0.19	LAI
22	4	04/01/2007	0.38	0.03	LAI
22	4	16/01/2007	1	0.21	LAI
22	4	26/01/2007	2.06	0.37	LAI
22	4	07/02/2007	2.93	0.37	LAI
22	4	27/02/2007	3.31	0.3	LAI
22	2	04/01/2007	0.13	0	LAI
22	2	16/01/2007	1.2	0.32	LAI
22	2	26/01/2007	2.3	0.41	LAI
22	2	07/02/2007	3.1	0.34	LAI
22	2	27/02/2007	3.37	0.28	LAI
22	1	04/01/2007	0.13	0	LAI
22	1	16/01/2007	1.11	0.34	LAI
22	1	26/01/2007	2.33	0.36	LAI
22	1	07/02/2007	3.09	0.31	LAI
22	1	27/02/2007	3.33	0.17	LAI
22	3	04/01/2007	5.71	0.33	LeafTips
22	3	16/01/2007	7.57	0.35	LeafTips
22	3	26/01/2007	9.79	0.95	LeafTips
22	3	07/02/2007	11.79	0.74	LeafTips
22	3	27/02/2007	15.96	0.32	LeafTips
22	4	04/01/2007	5.71	0.2	LeafTips
22	4	16/01/2007	7.29	0.31	LeafTips
22	4	26/01/2007	9.18	0.38	LeafTips
22	4	07/02/2007	11.79	0.18	LeafTips
22	4	27/02/2007	16	0.59	LeafTips
22	2	04/01/2007	5.93	0.14	LeafTips
22	2	16/01/2007	7.68	0.59	LeafTips
22	2	26/01/2007	9.54	0.55	LeafTips
22	2	07/02/2007	11.93	0.53	LeafTips
22	2	27/02/2007	16.04	0.18	LeafTips
22	1	04/01/2007	5.68	0.41	LeafTips
22	1	16/01/2007	7.46	0.43	LeafTips
22	1	26/01/2007	9.5	1.03	LeafTips
22	1	07/02/2007	11.54	0.66	LeafTips
22	1	27/02/2007	15.79	0.18	LeafTips
24	1	17/01/2012	5943	139	AboveDM
24	1	20/02/2012	13683	564	AboveDM
24	1	26/03/2012	19437	557	AboveDM
24	1	30/04/2012	20517	2284	AboveDM
24	3	17/01/2012	6748	924	AboveDM
24	3	20/02/2012	15521	804	AboveDM
24	3	26/03/2012	23466	562	AboveDM
24	3	30/04/2012	25351	2335	AboveDM
24	5	17/01/2012	7226	301	AboveDM
24	5	20/02/2012	16213	1094	AboveDM
24	5	26/03/2012	25499	1910	AboveDM
24	5	30/04/2012	25022	4091	AboveDM
24	4	17/01/2012	6902	820	AboveDM
24	4	20/02/2012	15576	538	AboveDM
24	4	26/03/2012	24795	1896	AboveDM
24	4	30/04/2012	26930	2159	AboveDM
24	2	17/01/2012	6368	1264	AboveDM
24	2	20/02/2012	15600	1351	AboveDM
24	2	26/03/2012	22818	1927	AboveDM
24	2	30/04/2012	24207	3666	AboveDM
24	1	30/04/2012	11283	3310	GrainDM
24	3	30/04/2012	13817	1727	GrainDM
24	5	30/04/2012	9963	719	GrainDM
24	4	30/04/2012	12385	1460	GrainDM
24	2	30/04/2012	11528	2637	GrainDM
24	1	17/01/2012	4.98	0.3	LAI
24	1	20/02/2012	4.21	0.41	LAI
24	1	26/03/2012	3.71	0.43	LAI
24	1	30/04/2012	1.08	0.72	LAI
24	3	17/01/2012	5.72	0.73	LAI
24	3	20/02/2012	5.39	0.71	LAI
24	3	26/03/2012	4.64	0.34	LAI
24	3	30/04/2012	2.01	0.98	LAI
24	5	17/01/2012	5.23	0.37	LAI
24	5	20/02/2012	5.51	0.65	LAI
24	5	26/03/2012	4.86	0.35	LAI
24	5	30/04/2012	2.19	1.49	LAI
24	4	17/01/2012	5.36	0.7	LAI
24	4	20/02/2012	5.04	0.41	LAI
24	4	26/03/2012	4.82	0.37	LAI
24	4	30/04/2012	2.15	0.36	LAI
24	2	17/01/2012	5.17	1.03	LAI
24	2	20/02/2012	5.33	0.57	LAI
24	2	26/03/2012	4.43	0.35	LAI
24	2	30/04/2012	1.7	0.71	LAI
24	1	08/12/2011	0.33	0.01	sw2
24	1	21/12/2011	0.32	0.01	sw2
24	1	05/01/2012	0.3	0.02	sw2
24	1	02/02/2012	0.28	0	sw2
24	1	16/02/2012	0.28	0	sw2
24	1	02/03/2012	0.31	0.01	sw2
24	1	15/03/2012	0.28	0.02	sw2
24	1	26/04/2012	0.27	0.01	sw2
24	1	08/12/2011	0.3	0.01	sw3
24	1	21/12/2011	0.29	0.02	sw3
24	1	05/01/2012	0.29	0.01	sw3
24	1	02/02/2012	0.26	0.01	sw3
24	1	16/02/2012	0.26	0.02	sw3
24	1	02/03/2012	0.27	0.03	sw3
24	1	15/03/2012	0.25	0.03	sw3
24	1	26/04/2012	0.23	0.05	sw3
24	1	08/12/2011	0.32	0.02	sw4
24	1	21/12/2011	0.32	0.01	sw4
24	1	05/01/2012	0.32	0.01	sw4
24	1	02/02/2012	0.29	0.01	sw4
24	1	16/02/2012	0.28	0.02	sw4
24	1	02/03/2012	0.28	0.03	sw4
24	1	15/03/2012	0.27	0.04	sw4
24	1	26/04/2012	0.23	0.08	sw4
24	1	08/12/2011	0.31	0.03	sw5
24	1	21/12/2011	0.31	0.04	sw5
24	1	05/01/2012	0.31	0.03	sw5
24	1	02/02/2012	0.3	0.04	sw5
24	1	16/02/2012	0.29	0.04	sw5
24	1	02/03/2012	0.28	0.05	sw5
24	1	15/03/2012	0.28	0.05	sw5
24	1	26/04/2012	0.26	0.06	sw5
24	1	08/12/2011	0.33	0	sw6
24	1	21/12/2011	0.32	0.01	sw6
24	1	05/01/2012	0.32	0.02	sw6
24	1	02/02/2012	0.3	0.02	sw6
24	1	16/02/2012	0.29	0.02	sw6
24	1	02/03/2012	0.27	0.01	sw6
24	1	15/03/2012	0.26	0.01	sw6
24	1	26/04/2012	0.23	0	sw6
24	1	08/12/2011	0.32	0.01	sw7
24	1	21/12/2011	0.31	0.02	sw7
24	1	05/01/2012	0.31	0.02	sw7
24	1	02/02/2012	0.3	0.03	sw7
24	1	16/02/2012	0.29	0.04	sw7
24	1	02/03/2012	0.29	0.05	sw7
24	1	15/03/2012	0.28	0.06	sw7
24	1	26/04/2012	0.27	0.08	sw7
24	1	08/12/2011	0.3	0.07	sw8
24	1	21/12/2011	0.31	0.06	sw8
24	1	05/01/2012	0.3	0.06	sw8
24	1	02/02/2012	0.29	0.08	sw8
24	1	16/02/2012	0.28	0.09	sw8
24	1	02/03/2012	0.26	0.11	sw8
24	1	15/03/2012	0.24	0.12	sw8
24	1	26/04/2012	0.22	0.15	sw8
24	5	08/12/2011	0.28	0.06	sw1
24	5	21/12/2011	0.24	0.05	sw1
24	5	05/01/2012	0.27	NA	sw1
24	5	02/02/2012	0.2	0.06	sw1
24	5	16/02/2012	0.19	0.06	sw1
24	5	02/03/2012	0.22	0.05	sw1
24	5	15/03/2012	0.18	0.03	sw1
24	5	26/04/2012	0.22	0.05	sw1
24	5	08/12/2011	0.3	NA	sw2
24	5	21/12/2011	0.3	0.02	sw2
24	5	05/01/2012	0.28	0.02	sw2
24	5	02/02/2012	0.25	0.03	sw2
24	5	16/02/2012	0.25	0.04	sw2
24	5	02/03/2012	0.29	0.01	sw2
24	5	15/03/2012	0.24	0.03	sw2
24	5	26/04/2012	0.23	0.04	sw2
24	5	08/12/2011	0.3	NA	sw3
24	5	21/12/2011	0.29	0.01	sw3
24	5	05/01/2012	0.28	0	sw3
24	5	02/02/2012	0.25	0	sw3
24	5	16/02/2012	0.25	0	sw3
24	5	02/03/2012	0.27	0	sw3
24	5	15/03/2012	0.25	0.01	sw3
24	5	26/04/2012	0.22	0.02	sw3
24	5	08/12/2011	0.32	NA	sw4
24	5	21/12/2011	0.32	0.01	sw4
24	5	05/01/2012	0.31	0.01	sw4
24	5	02/02/2012	0.29	0.03	sw4
24	5	16/02/2012	0.28	0.04	sw4
24	5	02/03/2012	0.27	0.05	sw4
24	5	15/03/2012	0.26	0.07	sw4
24	5	26/04/2012	0.22	0.11	sw4
24	5	08/12/2011	0.29	NA	sw5
24	5	21/12/2011	0.3	0.02	sw5
24	5	05/01/2012	0.29	0.02	sw5
24	5	02/02/2012	0.25	0.04	sw5
24	5	16/02/2012	0.23	0.05	sw5
24	5	02/03/2012	0.22	0.05	sw5
24	5	15/03/2012	0.21	0.06	sw5
24	5	26/04/2012	0.18	0.06	sw5
24	5	08/12/2011	0.2	NA	sw6
24	5	21/12/2011	0.27	0.09	sw6
24	5	05/01/2012	0.26	0.09	sw6
24	5	02/02/2012	0.24	0.09	sw6
24	5	16/02/2012	0.22	0.09	sw6
24	5	02/03/2012	0.21	0.08	sw6
24	5	15/03/2012	0.2	0.08	sw6
24	5	26/04/2012	0.17	0.07	sw6
24	5	08/12/2011	0.35	NA	sw7
24	5	21/12/2011	0.27	0.12	sw7
24	5	05/01/2012	0.27	0.12	sw7
24	5	02/02/2012	0.26	0.12	sw7
24	5	16/02/2012	0.26	0.12	sw7
24	5	02/03/2012	0.25	0.13	sw7
24	5	15/03/2012	0.24	0.14	sw7
24	5	26/04/2012	0.21	0.16	sw7
24	5	08/12/2011	0.37	NA	sw8
24	5	21/12/2011	0.31	0.08	sw8
24	5	05/01/2012	0.31	0.08	sw8
24	5	02/02/2012	0.29	0.09	sw8
24	5	16/02/2012	0.29	0.1	sw8
24	5	02/03/2012	0.27	0.13	sw8
24	5	15/03/2012	0.26	0.14	sw8
24	5	26/04/2012	0.23	0.18	sw8
10	1	10/11/2009	2.87	0.06	stage_code
10	1	11/11/2009	2.97	0.02	stage_code
10	1	12/11/2009	2.99	0.02	stage_code
10	2	30/11/2009	2.51	0.35	stage_code
10	2	01/12/2009	2.61	0.34	stage_code
10	2	02/12/2009	2.67	0.28	stage_code
10	3	10/11/2009	2.93	0	stage_code
10	3	11/11/2009	2.97	0.02	stage_code
10	3	12/11/2009	2.97	0.02	stage_code
10	4	30/11/2009	2.66	0.32	stage_code
10	4	01/12/2009	2.74	0.25	stage_code
10	4	02/12/2009	2.76	0.25	stage_code
10	5	10/11/2009	2.87	0.12	stage_code
10	5	11/11/2009	3	0	stage_code
10	5	12/11/2009	3	0	stage_code
10	6	30/11/2009	2.73	0.17	stage_code
10	6	01/12/2009	2.84	0.11	stage_code
10	6	02/12/2009	2.87	0.09	stage_code
10	7	10/11/2009	2.79	0.05	stage_code
10	7	11/11/2009	2.98	0.03	stage_code
10	7	12/11/2009	3	0	stage_code
10	8	30/11/2009	2.83	0.25	stage_code
10	8	01/12/2009	2.9	0.14	stage_code
10	8	02/12/2009	2.92	0.11	stage_code
10	9	10/11/2009	2.9	0.05	stage_code
10	9	11/11/2009	2.97	0.02	stage_code
10	9	12/11/2009	2.97	0.02	stage_code
10	10	30/11/2009	2.68	0.35	stage_code
10	10	01/12/2009	2.75	0.35	stage_code
10	10	02/12/2009	2.83	0.25	stage_code
10	1	20/01/2010	6.08	0.06	stage_code
10	1	22/01/2010	6.38	0.48	stage_code
10	1	25/01/2010	7	0	stage_code
10	2	03/02/2010	6.18	0.03	stage_code
10	2	05/02/2010	6.62	0.25	stage_code
10	2	08/02/2010	6.76	0.17	stage_code
10	2	10/02/2010	6.9	0.08	stage_code
10	2	12/02/2010	6.96	NA	stage_code
10	3	15/01/2010	6.04	NA	stage_code
10	3	18/01/2010	6.24	NA	stage_code
10	3	20/01/2010	6.64	0.17	stage_code
10	3	22/01/2010	6.98	0.03	stage_code
10	3	25/01/2010	7	NA	stage_code
10	4	01/02/2010	6.34	0.03	stage_code
10	4	03/02/2010	6.72	0.06	stage_code
10	4	05/02/2010	6.88	0.06	stage_code
10	4	08/02/2010	6.92	0.06	stage_code
10	4	10/02/2010	6.92	NA	stage_code
10	4	12/02/2010	7	NA	stage_code
10	5	14/01/2010	6.18	0.08	stage_code
10	5	15/01/2010	6.46	0.03	stage_code
10	5	18/01/2010	7	0	stage_code
10	6	29/01/2010	6.32	NA	stage_code
10	6	01/02/2010	6.72	0.11	stage_code
10	6	03/02/2010	6.8	0.06	stage_code
10	6	05/02/2010	6.88	0.06	stage_code
10	6	08/02/2010	6.96	0.06	stage_code
10	6	10/02/2010	7	NA	stage_code
10	7	03/02/2010	6.5	0.54	stage_code
10	7	05/02/2010	6.74	0.25	stage_code
10	7	08/02/2010	6.98	0.03	stage_code
10	8	12/02/2010	6.08	0	stage_code
10	8	15/02/2010	6.76	0.06	stage_code
10	8	17/02/2010	6.8	NA	stage_code
10	9	22/01/2010	6.08	NA	stage_code
10	9	25/01/2010	6.88	0	stage_code
10	9	27/01/2010	6.98	0.03	stage_code
10	9	29/01/2010	7	NA	stage_code
10	9	01/02/2010	7	NA	stage_code
10	10	05/02/2010	6.24	NA	stage_code
10	10	08/02/2010	6.74	0.31	stage_code
10	10	10/02/2010	6.82	0.25	stage_code
10	10	12/02/2010	6.76	NA	stage_code
10	10	15/02/2010	6.96	NA	stage_code
10	1	18/01/2010	18.6	NA	LeafLigules
10	1	22/01/2010	18.8	NA	LeafLigules
10	2	01/02/2010	18.6	NA	LeafLigules
10	2	01/02/2010	18.4	NA	LeafLigules
10	3	15/01/2010	19	NA	LeafLigules
10	3	18/01/2010	18.8	NA	LeafLigules
10	4	29/01/2010	19	NA	LeafLigules
10	4	29/01/2010	19.4	NA	LeafLigules
10	5	14/01/2010	16.7	0.42	LeafLigules
10	6	27/01/2010	17	NA	LeafLigules
10	6	29/01/2010	16.2	NA	LeafLigules
10	7	01/02/2010	21.2	NA	LeafLigules
10	7	01/02/2010	21.8	NA	LeafLigules
10	8	11/02/2010	21.9	0.14	LeafLigules
10	9	21/01/2010	18.6	NA	LeafLigules
10	9	22/01/2010	18.4	NA	LeafLigules
10	10	03/02/2010	19.4	NA	LeafLigules
10	10	05/02/2010	18.8	NA	LeafLigules
10	1	20/04/2010	7072	NA	GrainDM
10	1	21/04/2010	9139	NA	GrainDM
10	2	11/05/2010	6989	895	GrainDM
10	3	20/04/2010	12001	NA	GrainDM
10	3	30/04/2010	7508	NA	GrainDM
10	4	11/05/2010	6367	458	GrainDM
10	5	20/04/2010	6982	NA	GrainDM
10	5	21/04/2010	7301	NA	GrainDM
10	6	11/05/2010	6967	1042	GrainDM
10	7	30/04/2010	8555	1077	GrainDM
10	8	02/06/2010	6289	1221	GrainDM
10	9	20/04/2010	9839	293	GrainDM
10	10	11/05/2010	7169	1565	GrainDM
10	1	20/01/2010	7.07	0.02	LAI
10	2	01/02/2010	6.67	0.39	LAI
10	3	17/01/2010	6.59	0.19	LAI
10	4	29/01/2010	6.32	0.33	LAI
10	5	14/01/2010	6.52	0.94	LAI
10	6	28/01/2010	6	0.68	LAI
10	7	01/02/2010	9.01	1.24	LAI
10	8	11/02/2010	10.99	0.54	LAI
10	9	22/01/2010	7.15	0.11	LAI
10	10	04/02/2010	7.34	0.69	LAI
15	7	10/01/2011	6.58	0.11	stage_code
15	7	12/01/2011	6.73	0.04	stage_code
15	7	14/01/2011	6.8	0	stage_code
15	4	29/12/2010	6.1	0	stage_code
15	4	31/12/2010	6.38	0.1	stage_code
15	4	03/01/2011	6.7	0.2	stage_code
15	4	05/01/2011	6.73	0.04	stage_code
15	4	06/01/2011	6.85	0	stage_code
15	1	23/12/2010	6.43	0.04	stage_code
15	1	24/12/2010	6.55	0.14	stage_code
15	1	27/12/2010	6.8	NA	stage_code
15	1	29/12/2010	6.83	0.08	stage_code
15	9	10/02/2011	6.1	0	stage_code
15	9	11/02/2011	6.33	0.11	stage_code
15	9	14/02/2011	6.77	0.2	stage_code
15	6	03/02/2011	6.33	0.25	stage_code
15	6	07/02/2011	6.68	0.04	stage_code
15	3	31/01/2011	6.7	0.09	stage_code
15	3	01/02/2011	6.85	0	stage_code
15	8	24/01/2011	6.57	0.16	stage_code
15	5	10/01/2011	6.57	0.08	stage_code
15	5	12/01/2011	6.67	0.06	stage_code
15	2	03/01/2011	6.22	0.15	stage_code
15	2	05/01/2011	6.67	0.15	stage_code
15	2	06/01/2011	6.77	0.1	stage_code
15	2	10/01/2011	6.95	0	stage_code
15	7	18/10/2010	2.48	0.18	stage_code
15	7	19/10/2010	2.6	0.11	stage_code
15	7	21/10/2010	2.73	0.11	stage_code
15	7	28/10/2010	2.97	0.03	stage_code
15	4	18/10/2010	2.5	0.18	stage_code
15	4	19/10/2010	2.66	0.19	stage_code
15	4	21/10/2010	2.75	0.15	stage_code
15	4	28/10/2010	2.95	0.02	stage_code
15	1	18/10/2010	2.57	0.22	stage_code
15	1	19/10/2010	2.65	0.18	stage_code
15	1	21/10/2010	2.7	0.16	stage_code
15	1	28/10/2010	2.93	0.03	stage_code
15	9	09/12/2010	2.36	0.22	stage_code
15	9	10/12/2010	2.46	0.19	stage_code
15	9	13/12/2010	2.94	0.05	stage_code
15	9	21/12/2010	2.93	0.07	stage_code
15	6	09/12/2010	2.4	0.18	stage_code
15	6	10/12/2010	2.56	0.16	stage_code
15	6	13/12/2010	2.9	0.06	stage_code
15	6	21/12/2010	2.93	0.07	stage_code
15	3	09/12/2010	2.72	0.15	stage_code
15	3	10/12/2010	2.79	0.11	stage_code
15	3	13/12/2010	2.97	0.01	stage_code
15	3	21/12/2010	2.93	0.07	stage_code
15	8	10/11/2010	2.33	0.24	stage_code
15	8	11/11/2010	2.57	0.26	stage_code
15	8	12/11/2010	2.74	0.21	stage_code
15	8	15/11/2010	2.88	0.09	stage_code
15	8	26/11/2010	2.95	0.04	stage_code
15	5	10/11/2010	2.26	0.22	stage_code
15	5	11/11/2010	2.63	0.19	stage_code
15	5	12/11/2010	2.76	0.12	stage_code
15	5	15/11/2010	2.9	0.03	stage_code
15	5	26/11/2010	2.96	0.06	stage_code
15	2	10/11/2010	2.35	0.17	stage_code
15	2	11/11/2010	2.45	0.2	stage_code
15	2	12/11/2010	2.67	0.16	stage_code
15	2	15/11/2010	2.74	0.21	stage_code
15	2	26/11/2010	2.89	0.1	stage_code
15	7	28/10/2010	1	0	LeafLigules
15	7	04/11/2010	1.33	0.48	LeafLigules
15	7	08/11/2010	2.62	0.59	LeafLigules
15	7	11/11/2010	2.86	0.85	LeafLigules
15	7	15/11/2010	4.19	0.75	LeafLigules
15	7	18/11/2010	4.67	0.73	LeafLigules
15	7	22/11/2010	5.38	0.59	LeafLigules
15	7	25/11/2010	5.67	0.66	LeafLigules
15	7	29/11/2010	5.81	0.6	LeafLigules
15	7	03/12/2010	5.9	0.62	LeafLigules
15	7	06/12/2010	7.52	0.51	LeafLigules
15	7	09/12/2010	7.62	0.5	LeafLigules
15	7	13/12/2010	8.76	0.7	LeafLigules
15	7	16/12/2010	9.62	0.8	LeafLigules
15	7	20/12/2010	10.19	0.68	LeafLigules
15	7	23/12/2010	11.1	0.7	LeafLigules
15	7	27/12/2010	12.05	1.2	LeafLigules
15	7	03/01/2011	13.81	1.33	LeafLigules
15	7	06/01/2011	14.71	1.68	LeafLigules
15	7	10/01/2011	18.67	1.77	LeafLigules
15	7	14/01/2011	19.86	1.39	LeafLigules
15	7	28/10/2010	3.86	0.36	LeafTips
15	7	04/11/2010	4.95	0.67	LeafTips
15	7	08/11/2010	5.43	0.51	LeafTips
15	7	11/11/2010	6.29	0.72	LeafTips
15	7	15/11/2010	7.24	0.94	LeafTips
15	7	18/11/2010	8.05	0.86	LeafTips
15	7	22/11/2010	9.43	1.08	LeafTips
15	7	25/11/2010	9.71	1.23	LeafTips
15	7	29/11/2010	10.81	1.29	LeafTips
15	7	03/12/2010	11.52	1.36	LeafTips
15	7	06/12/2010	12.24	0.77	LeafTips
15	7	09/12/2010	13.05	0.97	LeafTips
15	7	13/12/2010	14.24	1.18	LeafTips
15	7	16/12/2010	15.19	1.29	LeafTips
15	7	20/12/2010	15.95	1.16	LeafTips
15	7	23/12/2010	17	1.14	LeafTips
15	7	27/12/2010	17.38	1.12	LeafTips
15	7	03/01/2011	18.19	0.87	LeafTips
15	7	06/01/2011	18.71	0.96	LeafTips
15	7	10/01/2011	19.71	1.19	LeafTips
15	7	14/01/2011	20.14	1.2	LeafTips
15	7	17/01/2011	20.29	0.76	LeafTips
15	4	28/10/2010	1	0	LeafLigules
15	4	04/11/2010	1	0	LeafLigules
15	4	08/11/2010	1.9	0.44	LeafLigules
15	4	11/11/2010	2.1	0.3	LeafLigules
15	4	15/11/2010	3.29	0.64	LeafLigules
15	4	18/11/2010	3.71	0.56	LeafLigules
15	4	22/11/2010	4.86	0.36	LeafLigules
