ExpNo	TreatNo	Date	obsValue	Error	Variable
1	1	28/03/2011	11895	983	GrainDM
1	1	06/04/2011	11177	1200	GrainDM
1	2	02/12/2010	65	14	LeafDM
1	2	30/12/2010	1025	222	LeafDM
1	2	13/01/2011	1807	332	LeafDM
1	2	20/01/2011	1945	112	LeafDM
1	2	26/01/2011	2008	160	LeafDM
1	2	09/02/2011	1963	115	LeafDM
1	2	18/02/2011	1833	395	LeafDM
1	2	28/02/2011	1835	189	LeafDM
1	2	09/03/2011	2021	305	LeafDM
1	2	17/03/2011	1802	249	LeafDM
1	2	28/03/2011	1551	71	LeafDM
1	2	06/04/2011	1250	115	LeafDM
1	1	02/12/2010	60	9	LeafDM
1	1	30/12/2010	1010	77	LeafDM
1	1	13/01/2011	1814	118	LeafDM
1	1	20/01/2011	1636	174	LeafDM
1	1	26/01/2011	1842	104	LeafDM
1	1	09/02/2011	1751	97	LeafDM
1	1	18/02/2011	1702	170	LeafDM
1	1	28/02/2011	1943	148	LeafDM
1	1	09/03/2011	1889	166	LeafDM
1	1	17/03/2011	1760	73	LeafDM
1	1	28/03/2011	1522	111	LeafDM
1	1	06/04/2011	1120	236	LeafDM
1	2	02/12/2010	146	72	AboveDM
1	2	30/12/2010	2118	536	AboveDM
1	2	13/01/2011	5592	980	AboveDM
1	2	20/01/2011	7473	384	AboveDM
1	2	26/01/2011	8484	703	AboveDM
1	2	09/02/2011	12550	800	AboveDM
1	2	18/02/2011	14067	2353	AboveDM
1	2	28/02/2011	16532	1071	AboveDM
1	2	09/03/2011	19193	1183	AboveDM
1	2	17/03/2011	19374	1237	AboveDM
1	2	28/03/2011	20434	1416	AboveDM
1	2	06/04/2011	20440	208	AboveDM
1	1	02/12/2010	92	19	AboveDM
1	1	30/12/2010	2087	152	AboveDM
1	1	13/01/2011	5756	383	AboveDM
1	1	20/01/2011	5990	409	AboveDM
1	1	26/01/2011	7975	356	AboveDM
1	1	09/02/2011	11006	708	AboveDM
1	1	18/02/2011	12718	773	AboveDM
1	1	28/02/2011	16536	1112	AboveDM
1	1	09/03/2011	18120	1520	AboveDM
1	1	17/03/2011	18821	1360	AboveDM
1	1	28/03/2011	20637	1691	AboveDM
1	1	06/04/2011	18931	2196	AboveDM
1	2	02/12/2010	82	63	StemDM
1	2	30/12/2010	1094	315	StemDM
1	2	13/01/2011	3785	705	StemDM
1	2	20/01/2011	4783	320	StemDM
1	2	26/01/2011	5008	282	StemDM
1	2	09/02/2011	5490	415	StemDM
1	2	18/02/2011	4881	937	StemDM
1	2	28/02/2011	4409	412	StemDM
1	2	09/03/2011	4919	678	StemDM
1	2	17/03/2011	4298	558	StemDM
1	2	28/03/2011	4263	455	StemDM
1	2	06/04/2011	4110	132	StemDM
1	1	02/12/2010	32	10	StemDM
1	1	30/12/2010	1077	97	StemDM
1	1	13/01/2011	3942	307	StemDM
1	1	20/01/2011	3869	269	StemDM
1	1	26/01/2011	4536	162	StemDM
1	1	09/02/2011	4805	306	StemDM
1	1	18/02/2011	4582	405	StemDM
1	1	28/02/2011	4679	520	StemDM
1	1	09/03/2011	4346	482	StemDM
1	1	17/03/2011	4072	411	StemDM
1	1	28/03/2011	4390	514	StemDM
1	1	06/04/2011	3905	613	StemDM
1	2	02/12/2010	0.32	0.05	LAI
1	2	30/12/2010	1.98	0.39	LAI
1	2	13/01/2011	3.14	0.46	LAI
1	1	02/12/2010	0.32	0.04	LAI
1	1	30/12/2010	2.03	0.14	LAI
1	1	13/01/2011	3.32	0.40	LAI
1	2	24/11/2010	0.00	0.00	LightInt
1	2	03/12/2010	0.14	0.03	LightInt
1	2	09/12/2010	0.16	0.04	LightInt
1	2	17/12/2010	0.43	0.04	LightInt
1	2	23/12/2010	0.55	0.07	LightInt
1	2	30/12/2010	0.72	0.02	LightInt
1	2	06/01/2011	0.74	0.07	LightInt
1	2	10/01/2011	0.83	0.04	LightInt
1	2	13/01/2011	0.78	0.04	LightInt
1	2	19/01/2011	0.82	0.02	LightInt
1	2	26/01/2011	0.90	0.02	LightInt
1	2	27/01/2011	0.85	0.03	LightInt
1	2	01/02/2011	0.84	0.08	LightInt
1	2	09/02/2011	0.84	0.03	LightInt
1	2	16/02/2011	0.90	0.04	LightInt
1	2	24/02/2011	0.81	0.04	LightInt
1	2	03/03/2011	0.82	0.04	LightInt
1	2	09/03/2011	0.85	0.04	LightInt
1	2	16/03/2011	0.80	0.03	LightInt
